Unnamed: 0,ID,id_student,code_module,code_presentation,url_row,forumng_row,homepage_row,oucontent_row,subpage_row,resource_row,sharedsubpage_row,page_row,questionnaire_row,ouwiki_row,htmlactivity_row,ouelluminate_row,dataplus_row,externalquiz_row,repeatactivity_row,dualpane_row,quiz_row,glossary_row,oucollaborate_row,folder_row,url_col,forumng_col,homepage_col,oucontent_col,subpage_col,resource_col,sharedsubpage_col,page_col,questionnaire_col,ouwiki_col,htmlactivity_col,ouelluminate_col,dataplus_col,externalquiz_col,repeatactivity_col,dualpane_col,quiz_col,glossary_col,oucollaborate_col,folder_col
2510,8521,530765,EEE,2013J,Cuartil 2,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 2,Cuartil 4,Cuartil 0,Cuartil 2,Cuartil 0,Cuartil 2,Cuartil 2,Cuartil 2,Cuartil 2,Cuartil 2,Cuartil 1,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 2,Cuartil 0,Cuartil 2,Cuartil 0
2511,8524,530841,BBB,2013J,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 2,Cuartil 4,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 1,Cuartil 1,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0
2512,8526,530852,FFF,2013J,Cuartil 0,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 1,Cuartil 1,Cuartil 1,Cuartil 1,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0
2513,8530,530940,FFF,2013J,Cuartil 2,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 2,Cuartil 0,Cuartil 2,Cuartil 2,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 2,Cuartil 4,Cuartil 0,Cuartil 2,Cuartil 2,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 0,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 4,Cuartil 0,Cuartil 4,Cuartil 4
2514,8533,530967,DDD,2013J,Cuartil 2,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 2,Cuartil 0,Cuartil 2,Cuartil 2,Cuartil 2,Cuartil 2,Cuartil 2,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 0
2515,8544,531097,EEE,2013J,Cuartil 2,Cuartil 2,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 1,Cuartil 1,Cuartil 1,Cuartil 2,Cuartil 2,Cuartil 1,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0
2516,8550,531224,GGG,2013J,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 1,Cuartil 1,Cuartil 1,Cuartil 1,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0
2517,8551,531234,DDD,2013J,Cuartil 2,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 2,Cuartil 0,Cuartil 2,Cuartil 2,Cuartil 2,Cuartil 2,Cuartil 2,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 0
2518,8559,531344,FFF,2013J,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 1,Cuartil 1,Cuartil 1,Cuartil 0,Cuartil 0,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0
2519,8561,531384,BBB,2013J,Cuartil 2,Cuartil 4,Cuartil 4,Cuartil 2,Cuartil 4,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 0,Cuartil 2,Cuartil 0,Cuartil 2,Cuartil 4,Cuartil 4,Cuartil 2,Cuartil 4,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 2,Cuartil 0,Cuartil 2,Cuartil 0
2520,8563,531402,DDD,2013J,Cuartil 2,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 2,Cuartil 2,Cuartil 0,Cuartil 4,Cuartil 2,Cuartil 4,Cuartil 2,Cuartil 4,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 4,Cuartil 0
2521,8573,531643,BBB,2013J,Cuartil 2,Cuartil 4,Cuartil 4,Cuartil 2,Cuartil 4,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 2,Cuartil 4,Cuartil 4,Cuartil 1,Cuartil 2,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0
2522,8588,531953,FFF,2013J,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 1,Cuartil 1,Cuartil 1,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0
2523,8591,532020,DDD,2013J,Cuartil 2,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 2,Cuartil 0,Cuartil 2,Cuartil 2,Cuartil 2,Cuartil 2,Cuartil 2,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 0
2524,8598,532114,BBB,2013J,Cuartil 4,Cuartil 0,Cuartil 4,Cuartil 0,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 2,Cuartil 0,Cuartil 1,Cuartil 0,Cuartil 1,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0
2525,8599,532116,DDD,2013J,Cuartil 2,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 2,Cuartil 2,Cuartil 0,Cuartil 2,Cuartil 4,Cuartil 2,Cuartil 2,Cuartil 2,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 2,Cuartil 0
2526,8600,532121,FFF,2013J,Cuartil 2,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 2,Cuartil 0,Cuartil 2,Cuartil 2,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 0,Cuartil 2,Cuartil 2,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 0,Cuartil 4,Cuartil 4,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 0,Cuartil 4,Cuartil 4
2527,8603,532144,DDD,2013J,Cuartil 2,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 2,Cuartil 0,Cuartil 2,Cuartil 2,Cuartil 2,Cuartil 2,Cuartil 2,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 0
2528,8610,532335,BBB,2013J,Cuartil 2,Cuartil 4,Cuartil 4,Cuartil 2,Cuartil 4,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 2,Cuartil 2,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 2,Cuartil 4,Cuartil 0,Cuartil 0
2529,8622,532477,BBB,2013J,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 2,Cuartil 4,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 2,Cuartil 2,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 4,Cuartil 0,Cuartil 0
2530,8624,532491,EEE,2013J,Cuartil 2,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 2,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 2,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 2,Cuartil 4,Cuartil 4,Cuartil 2,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0
2531,8641,532615,BBB,2013J,Cuartil 2,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 2,Cuartil 2,Cuartil 2,Cuartil 1,Cuartil 2,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0
2532,8648,532683,DDD,2013J,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 1,Cuartil 1,Cuartil 1,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0
2533,8655,532739,BBB,2013J,Cuartil 2,Cuartil 4,Cuartil 4,Cuartil 0,Cuartil 4,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 1,Cuartil 2,Cuartil 1,Cuartil 0,Cuartil 1,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0
2534,8656,532741,FFF,2013J,Cuartil 2,Cuartil 2,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 0,Cuartil 2,Cuartil 2,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 2,Cuartil 1,Cuartil 2,Cuartil 2,Cuartil 2,Cuartil 2,Cuartil 0,Cuartil 4,Cuartil 4,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0
2535,8659,532750,BBB,2013J,Cuartil 2,Cuartil 4,Cuartil 4,Cuartil 2,Cuartil 4,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 2,Cuartil 2,Cuartil 2,Cuartil 1,Cuartil 2,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0
2536,8662,532839,BBB,2013J,Cuartil 2,Cuartil 4,Cuartil 4,Cuartil 2,Cuartil 4,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 2,Cuartil 2,Cuartil 2,Cuartil 1,Cuartil 2,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0
2537,8667,532859,DDD,2013J,Cuartil 2,Cuartil 0,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 1,Cuartil 0,Cuartil 1,Cuartil 2,Cuartil 1,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0
2538,8669,532863,DDD,2013J,Cuartil 2,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 2,Cuartil 2,Cuartil 2,Cuartil 2,Cuartil 2,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0
2539,8670,532868,BBB,2013J,Cuartil 2,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 2,Cuartil 2,Cuartil 0,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 2,Cuartil 2,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 2,Cuartil 4,Cuartil 2,Cuartil 0
2540,8671,532869,BBB,2013J,Cuartil 2,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 2,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 2,Cuartil 2,Cuartil 2,Cuartil 2,Cuartil 2,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0
2541,8673,532895,FFF,2013J,Cuartil 0,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 2,Cuartil 0,Cuartil 2,Cuartil 0,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 0,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 2,Cuartil 2,Cuartil 2,Cuartil 2,Cuartil 2,Cuartil 0,Cuartil 4,Cuartil 0,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 0,Cuartil 2,Cuartil 0
2542,8675,532941,DDD,2013J,Cuartil 4,Cuartil 0,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 1,Cuartil 0,Cuartil 1,Cuartil 1,Cuartil 2,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0
2543,8683,533012,EEE,2013J,Cuartil 2,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 2,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 2,Cuartil 2,Cuartil 2,Cuartil 2,Cuartil 2,Cuartil 1,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0
2544,8689,533091,BBB,2013J,Cuartil 0,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 1,Cuartil 1,Cuartil 1,Cuartil 1,Cuartil 1,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0
2545,8693,533164,BBB,2013J,Cuartil 2,Cuartil 4,Cuartil 4,Cuartil 0,Cuartil 4,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 2,Cuartil 1,Cuartil 1,Cuartil 0,Cuartil 1,Cuartil 1,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0
2546,8702,533301,BBB,2013J,Cuartil 0,Cuartil 4,Cuartil 4,Cuartil 2,Cuartil 4,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 0,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 1,Cuartil 1,Cuartil 1,Cuartil 1,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 2,Cuartil 0,Cuartil 2,Cuartil 0
2547,8704,533311,EEE,2013J,Cuartil 2,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 2,Cuartil 2,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 2,Cuartil 4,Cuartil 0,Cuartil 2,Cuartil 0,Cuartil 4,Cuartil 4,Cuartil 2,Cuartil 4,Cuartil 1,Cuartil 1,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 4,Cuartil 2,Cuartil 0,Cuartil 4,Cuartil 0
2548,8710,533414,BBB,2013J,Cuartil 4,Cuartil 0,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 2,Cuartil 0,Cuartil 1,Cuartil 1,Cuartil 1,Cuartil 1,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0
2549,8712,533449,BBB,2013J,Cuartil 4,Cuartil 0,Cuartil 4,Cuartil 4,Cuartil 4,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 1,Cuartil 0,Cuartil 1,Cuartil 1,Cuartil 1,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0,Cuartil 0
